date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:21:56	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
21:21:57	24742/24742	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2022:45:16%20GMT	https://preview.colorlib.com/theme/roberto/	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/index.html	(from )
21:21:58	1365/1365	---M--	200	added ('OK')	image/png	etag:%22555-5820ab33daa00%22	https://preview.colorlib.com/theme/roberto/img/core-img/favicon.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/favicon.png	(from https://preview.colorlib.com/theme/roberto/)
21:21:58	75497/75497	---M-Z	200	added ('OK')	text/css	etag:%22126e9-5820aa5b5eb40-gzip%22	https://preview.colorlib.com/theme/roberto/style.css	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/style.css	(from https://preview.colorlib.com/theme/roberto/)
21:21:58	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Mon,%2012%20Feb%202024%2016:21:41%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/roberto/)
21:21:59	24742/24742	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2022:45:16%20GMT	https://preview.colorlib.com/theme/roberto/index.html	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/index-2.html	(from https://preview.colorlib.com/theme/roberto/)
21:21:59	3906/3906	---M--	200	added ('OK')	image/png	etag:%22f42-5820ab3a879c0%22	https://preview.colorlib.com/theme/roberto/img/core-img/logo.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/logo.png	(from https://preview.colorlib.com/theme/roberto/)
21:22:00	15860/15860	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2022:45:22%20GMT	https://preview.colorlib.com/theme/roberto/room.html	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/room.html	(from https://preview.colorlib.com/theme/roberto/)
21:22:00	13077/13077	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2022:45:13%20GMT	https://preview.colorlib.com/theme/roberto/about.html	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/about.html	(from https://preview.colorlib.com/theme/roberto/)
21:22:01	17969/17969	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2022:45:25%20GMT	https://preview.colorlib.com/theme/roberto/single-room.html	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/single-room.html	(from https://preview.colorlib.com/theme/roberto/)
